id,kind,source,row,finding,action,status
P01,RECONSTRUCTION_METADATA_ERROR,Old CSV/JSON harmonization_note; old workbook/report,All 121 Bao rows,White-bread to glucose conversion described as multiplication by 100/70 and 100/73; direction reversed.,Use metadata-only v1.1 derivative; verify zero numeric changes. Do not re-convert Bao published values.,CORRECTED_IN_DERIVATIVE_PENDING_REVIEW
P02,SOURCE_INTERNAL_INCONSISTENCY,Bell 2016 Table S1,BELL2016-S1-002,Carrots GI33; AvCHO32g/MJ; GL14. Product10.56; ordinary rounding insufficient.,Retain raw values; flag derived GL separately if needed. Excluded from standard-dose primary evaluation by 300kJ protocol.,UNRESOLVED_SOURCE
P03,SOURCE_INTERNAL_INCONSISTENCY,Bell 2016 Table S1,BELL2016-S1-017,Sausage P14/F19/AvCHO35g per MJ implies ~367kcal or1536kJ by approximate4/4/9.,Do not guess3.5. Preserve source; quarantine affected new analyses or predeclare sensitivity. As-printed reproduction remains permitted.,UNRESOLVED_SOURCE
P04,PROTOCOL_DIFFERENCE,Bell 2016 S1 star footnote,BELL2016-S1-001..006,Six vegetables tested at300kJ versus300kJ glucose; composition expressed perMJ.,Separate actual_test_energy from composition_basis; do not multiply dimensionless FII by1000/300; separate sensitivity set.,PRESERVED_REQUIRES_ANALYSIS_RULE
P05,MISSING_PREDICTORS,Bell 2016 S1; current audit,26 Bell rows,12 GI/GL missing;3fibre missing;10rows with both1000kJ dose andGI/GL.,No zero fill. Report coverage and compare on matched row sets.,PRESERVED_REQUIRES_ANALYSIS_RULE
P06,SOURCE_TEXT_TABLE_CONFLICT,Bell 2016 main p8 vs S1,Lamb and Hokkien noodles,Discussion lamb22/noodles21; S1 lamb41±19/noodles22±9; item linkage unresolved.,Do not silently replace S1; log source locations and request explicit resolution if needed.,UNRESOLVED_SOURCE
P07,UNIT_OF_ANALYSIS_LIMIT,Bell 2016 Methods/Results,254 individual observations;147food means,S1 lacks254participant-level outcomes and shared-reference covariance.,No expansion of means into pseudo-subjects; do not claim reproducing individual14%/10%validation.,DATA_UNAVAILABLE
P08,NONINDEPENDENT_SOURCE_LINEAGE,Bao 2011 Methods and Results,Holt-derived foods and13mixed meals,Earlier Holt measurements recur inBao;13mixed-meal outcomes reported previously inBao2009.,Do not append Holt as38newfoods or treat repeated meal publication asreplication.,LINEAGE_TO_DOCUMENT
P09,EVALUATION_EXPOSURE,Bell147model construction; current reconstruction,121/26temporal split,Bellmodel specification and earlier aggregate refits have usedall147outcomes.,"Freeze choices now; call retrospective temporaltransfer, not untouched orblind independentvalidation.",LIMITATION_PERMANENT
P10,APPROXIMATE_REPRODUCTION,Bell equations vs printed rounded data,All147,R2matches closely;coefficients notidentical;rounding notproven solecause.,Report exactreproduction results and differenceregister; donot tune data to match.,LIMITATION_TO_REPORT
